#{"t_start": 1775328281.5124178, "env_id": "None"}
r,l,t
6.252489,30,18.164704
1.747637,30,18.212234
4.182973,30,18.260233
6.265511,30,18.309766
9.332264,30,18.352764
5.173896,30,18.403304
10.426238,30,18.4513
3.688239,30,18.498841
3.237526,30,18.576285
7.032774,30,18.633757
6.604526,30,21.606044
7.44249,30,21.665474
7.052898,30,21.702249
3.266616,30,21.734094
6.838803,30,21.777467
6.271095,30,21.794179
7.247762,30,21.841904
3.862797,30,21.868586
9.192273,30,21.902782
9.428643,30,21.939299
5.699103,30,21.977448
6.797097,30,22.013921
4.89729,30,22.049147
3.434035,30,22.086037
4.036832,30,22.12973
3.982674,30,22.154502
6.415053,30,22.206922
2.991924,30,22.232221
9.011582,30,22.26503
4.550672,30,22.308028
9.323688,30,22.338557
1.519268,30,22.365745
7.421143,30,22.394811
9.311065,30,22.419248
0.626088,30,22.453967
8.190596,30,22.494699
10.842119,30,22.530627
4.031352,30,22.565226
8.332642,30,22.601032
9.061131,30,22.634394
7.414995,30,22.67328
5.024482,30,22.718552
6.370586,30,22.753664
5.302543,30,22.785263
5.298192,30,22.817147
2.034095,30,22.849847
8.976442,30,22.880863
9.201768,30,22.925204
3.390109,30,22.949812
7.058759,30,22.995306
8.369,30,23.01829
4.506403,30,23.05593
6.399969,30,23.084621
8.570115,30,23.106401
8.882102,30,23.141945
1.397549,30,23.201101
4.677111,30,23.233537
2.512666,30,23.253876
7.112457,30,23.29438
10.261842,30,23.325004
5.034808,30,23.344832
1.108065,30,23.395906
6.355903,30,23.419496
6.673062,30,23.452592
10.858,30,23.496279
3.516923,30,23.527908
9.192536,30,23.556413
1.9279,30,23.594045
8.315538,30,23.622524
9.428749,30,23.658112
8.263482,30,23.690623
4.778406,30,23.715415
6.605204,30,23.732006
7.502546,30,23.764202
7.935101,30,23.796112
2.008784,30,23.825071
9.131223,30,23.86694
3.477362,30,23.902807
9.175767,30,27.947935
10.65479,30,28.004863
11.237241,30,28.059548
10.208803,30,28.118761
9.928509,30,28.163695
6.394864,30,28.215856
11.049325,30,28.273822
8.494142,30,28.326431
5.039235,30,28.369095
2.347961,30,28.406578
12.244732,30,28.43544
8.346828,30,28.478211
11.039485,30,28.51073
9.442412,30,28.545691
9.151157,30,28.574686
8.716916,30,28.601697
5.467135,30,28.634887
7.471697,30,28.661294
10.869518,30,28.689806
7.785241,30,28.715598
7.919944,30,28.743784
4.741284,30,28.765334
7.061993,30,28.799212
2.276286,30,28.831295
9.951931,30,28.860134
5.306944,30,28.902972
7.846548,30,28.925334
2.523605,30,28.956135
3.249862,30,28.984854
8.021828,30,29.020704
10.617124,30,29.04768
1.322585,30,29.069618
5.774385,30,29.100595
9.892634,30,29.120567
6.139925,30,29.156002
9.155537,30,29.18349
7.296467,30,29.203531
10.232765,30,29.218644
9.842191,30,29.246985
2.24,30,29.28284
3.294612,30,29.306789
9.211469,30,29.327482
8.039126,30,29.356433
3.519321,30,29.376821
10.2752,30,29.405083
6.184073,30,29.419198
10.452145,30,29.458169
3.188585,30,29.483593
8.507886,30,29.505786
2.546018,30,29.534124
4.667383,30,29.560861
1.457519,30,29.575187
7.4349,30,29.611129
6.046616,30,29.635058
6.130002,30,29.661287
10.662761,30,29.687704
5.856578,30,29.703702
7.098449,30,29.738839
10.471241,30,29.760743
9.621605,30,29.791225
4.083622,30,29.80388
6.791098,30,29.839621
1.488571,30,29.863891
4.326528,30,29.885736
2.89719,30,29.905605
8.434331,30,29.93427
3.017406,30,29.949346
7.266782,30,29.988567
1.396459,30,32.152923
9.120709,30,32.199958
8.251932,30,32.231748
11.382146,30,32.263462
7.381195,30,32.314539
1.725764,30,32.347309
10.301127,30,32.367797
8.099148,30,32.406316
2.308283,30,32.440723
3.556762,30,32.462826
5.224276,30,32.498878
7.775459,30,32.527474
9.487027,30,32.554437
5.147752,30,32.584179
4.699639,30,32.610606
8.341491,30,32.650008
8.335121,30,32.678393
7.340757,30,32.702113
9.47731,30,32.732564
8.131434,30,32.760978
4.004375,30,32.778596
4.001322,30,32.810447
9.423542,30,32.84076
10.730467,30,32.856759
7.905731,30,32.890521
10.769826,30,32.907009
8.342409,30,32.944343
10.718643,30,32.97047
10.489204,30,33.00111
3.707593,30,33.043434
0.034252,30,33.073722
3.29551,30,33.099151
10.558785,30,33.116908
5.942914,30,33.156339
10.830808,30,33.183588
7.073192,30,33.207357
3.719765,30,33.229515
3.521867,30,33.256899
5.553832,30,33.280505
0.790096,30,33.293511
5.61434,30,33.327081
8.042383,30,33.34314
5.513853,30,33.370146
5.747593,30,33.394773
