frame,landmark,x,y,z,visibility
0,0,0.7854472398757935,0.35202810168266296,-0.08499278873205185,0.9995110034942627
0,1,0.7943991422653198,0.3267008364200592,-0.07600004225969315,0.9989855885505676
0,2,0.7942423820495605,0.32430708408355713,-0.07611822336912155,0.9991463422775269
0,3,0.7938958406448364,0.3215595483779907,-0.07619396597146988,0.9992903470993042
0,4,0.7928911447525024,0.3240826725959778,-0.11605584621429443,0.9991818070411682
0,5,0.7916128039360046,0.3201867341995239,-0.11608245223760605,0.999427318572998
0,6,0.7900861501693726,0.3156657814979553,-0.11614718288183212,0.9994528889656067
0,7,0.7770432233810425,0.294040322303772,-0.004170688800513744,0.9990746974945068
0,8,0.7732491493225098,0.2906528413295746,-0.18252021074295044,0.9994534850120544
0,9,0.7696086168289185,0.35716310143470764,-0.05184340476989746,0.9993935823440552
0,10,0.7671593427658081,0.35222673416137695,-0.10390101373195648,0.9995597004890442
0,11,0.6861646771430969,0.3376481831073761,0.12613393366336823,0.9974313378334045
0,12,0.6818256378173828,0.3434508144855499,-0.2531762421131134,0.9997183680534363
0,13,0.6505926251411438,0.5201630592346191,0.16449543833732605,0.15858158469200134
0,14,0.6510714888572693,0.5605617165565491,-0.2614024877548218,0.9771639704704285
0,15,0.6378275156021118,0.6980677247047424,0.12106326967477798,0.21128296852111816
0,16,0.635064959526062,0.7578237056732178,-0.2269820272922516,0.9771308898925781
0,17,0.6580193042755127,0.7167937159538269,0.12738476693630219,0.22622476518154144
0,18,0.6544843316078186,0.7833666205406189,-0.2726040482521057,0.9703917503356934
0,19,0.6602851152420044,0.7276601791381836,0.08629152178764343,0.23606590926647186
0,20,0.6606221199035645,0.7748308181762695,-0.2453969419002533,0.9641613960266113
0,21,0.6493802070617676,0.7265843152999878,0.10176529735326767,0.24192672967910767
0,22,0.6516650915145874,0.7688634395599365,-0.2180233895778656,0.9384010434150696
0,23,0.4777296483516693,0.4593299329280853,0.10331913083791733,0.99159836769104
0,24,0.4696502685546875,0.42361387610435486,-0.1032237783074379,0.9951359629631042
0,25,0.33956286311149597,0.5925013422966003,0.13976888358592987,0.44602081179618835
0,26,0.32323944568634033,0.5540006160736084,-0.06499356031417847,0.963038444519043
0,27,0.19477513432502747,0.6386399865150452,0.22163958847522736,0.72773277759552
0,28,0.16658714413642883,0.6273941993713379,0.010680180974304676,0.9726765751838684
0,29,0.15539509057998657,0.6260696649551392,0.22658178210258484,0.7618261575698853
0,30,0.13849830627441406,0.6134626865386963,0.01142239198088646,0.946536123752594
0,31,0.18088451027870178,0.7377951145172119,0.16642992198467255,0.8545668125152588
0,32,0.16273906826972961,0.742394745349884,-0.0845976173877716,0.9570671319961548
1,0,0.7836705446243286,0.3537299931049347,-0.041450098156929016,0.9995350241661072
1,1,0.7931005358695984,0.32771122455596924,-0.029721051454544067,0.9990450739860535
1,2,0.7929168343544006,0.3250620663166046,-0.02978949248790741,0.9991931319236755
1,3,0.7925818562507629,0.32213714718818665,-0.029819022864103317,0.9993298053741455
1,4,0.7916556596755981,0.32509374618530273,-0.07004232704639435,0.9992336630821228
1,5,0.7904658913612366,0.32107001543045044,-0.07007670402526855,0.9994619488716125
1,6,0.7890800833702087,0.3165346384048462,-0.07015365362167358,0.9994895458221436
1,7,0.7764278054237366,0.29441800713539124,0.047258563339710236,0.9991128444671631
1,8,0.7729531526565552,0.2911463677883148,-0.13147872686386108,0.9994869232177734
1,9,0.7674415707588196,0.35733431577682495,-0.0068564205430448055,0.9994084239006042
1,10,0.7655556797981262,0.35260990262031555,-0.05899945646524429,0.9995731711387634
1,11,0.6865623593330383,0.33161717653274536,0.18281666934490204,0.9975058436393738
1,12,0.6846040487289429,0.34021344780921936,-0.22165513038635254,0.999732255935669
1,13,0.6491995453834534,0.5135321021080017,0.19762587547302246,0.16068336367607117
1,14,0.651073694229126,0.5447177886962891,-0.2500736117362976,0.9775003790855408
1,15,0.6375377774238586,0.6980751156806946,0.12978710234165192,0.2109062522649765
1,16,0.6359729170799255,0.7548133134841919,-0.21161797642707825,0.9761075377464294
1,17,0.6551569700241089,0.7164788246154785,0.13612285256385803,0.22361893951892853
1,18,0.6535431146621704,0.7809436321258545,-0.25187474489212036,0.9686099886894226
1,19,0.6575449705123901,0.7271101474761963,0.09669242799282074,0.23276637494564056
1,20,0.6599627137184143,0.7732599973678589,-0.2207743376493454,0.961773157119751
1,21,0.6474631428718567,0.7263113260269165,0.11017493903636932,0.23880493640899658
1,22,0.6515742540359497,0.766381561756134,-0.19972550868988037,0.9347378015518188
1,23,0.4771367609500885,0.44393277168273926,0.10706237703561783,0.9913239479064941
1,24,0.47173213958740234,0.42733222246170044,-0.10698004066944122,0.9949729442596436
1,25,0.331459641456604,0.5703330636024475,0.1227349266409874,0.4342966675758362
1,26,0.32282784581184387,0.5587002038955688,-0.09575788676738739,0.9625316262245178
1,27,0.18306568264961243,0.6339566707611084,0.16230185329914093,0.7183640003204346
1,28,0.16411161422729492,0.6362704634666443,-0.06452402472496033,0.9717028737068176
1,29,0.14846286177635193,0.6234511733055115,0.16116918623447418,0.7588430643081665
1,30,0.13368330895900726,0.6220605373382568,-0.06890689581632614,0.946560800075531
1,31,0.17798496782779694,0.7330149412155151,0.09380757808685303,0.8488225936889648
1,32,0.1605697125196457,0.7459827661514282,-0.16955099999904633,0.9560876488685608
2,0,0.7829499244689941,0.3544498085975647,-0.04595581442117691,0.9995455741882324
2,1,0.7924197316169739,0.3282288610935211,-0.035271428525447845,0.9990711808204651
2,2,0.7921940088272095,0.32548579573631287,-0.03534578159451485,0.9992110133171082
2,3,0.7918753027915955,0.32245200872421265,-0.03538095951080322,0.9993448853492737
2,4,0.7910955548286438,0.32547855377197266,-0.07513213157653809,0.9992629885673523
2,5,0.7899685502052307,0.321338027715683,-0.07516521215438843,0.9994804263114929
