min_elbow_angle,max_elbow_angle,max_depth,min_depth,avg_alignment,min_alignment,min_hip_angle,avg_hip_angle,elbow_range,depth_range,label,video_path
133.63578466968056,159.22408041446826,0.22568251016065588,-0.6422365477741421,156.3134061332999,132.43728967655994,129.36777725765586,155.02840894428388,25.5882957447877,0.867919057934798,1,../data/push-up\correct\Copy of push up 1.mp4
104.47919698797502,166.25613746959934,-0.5015328101156711,-1.166380280844205,169.7398341317447,162.21406030999458,155.80516491993058,167.7551931746282,61.77694048162432,0.6648474707285339,1,../data/push-up\correct\Copy of push up 100.mp4
108.29237721211882,162.50902511527013,-0.4857659358926878,-1.1328595092765397,173.70902941224244,168.5029881017771,169.06915604357235,172.6675369818476,54.21664790315131,0.6470935733838519,1,../data/push-up\correct\Copy of push up 101.mp4
106.82881976720714,160.78764948392865,-0.48188709712422284,-1.1071203144094541,172.2450527678577,166.09133742077083,166.52184232270682,171.56227731279714,53.95882971672151,0.6252332172852313,1,../data/push-up\correct\Copy of push up 102.mp4
101.62531349349614,162.40782461051285,-0.4870634174687395,-1.1515719999172354,174.0067046659559,169.5021839240376,169.0567422706101,172.73131922584977,60.78251111701671,0.6645085824484959,1,../data/push-up\correct\Copy of push up 113.mp4
105.9750031064256,161.12075589706902,-0.47471068995010524,-1.1346312459831294,171.91584759677644,167.9794385118078,165.96566831219167,171.08338714172598,55.145752790643414,0.6599205560330241,1,../data/push-up\correct\Copy of push up 114.mp4
91.83546699355028,168.6484819110631,-0.3790253152995313,-1.0067067730264443,168.03735534155555,164.55051306302767,163.76481518163098,167.23464796898202,76.81301491751282,0.627681457726913,1,../data/push-up\correct\Copy of push up 115.mp4
121.58660601873902,150.81494229547775,-0.24212511039062934,-0.48062876072577054,161.26500707001597,152.0523710209508,146.34095502527262,153.4241128812271,29.22833627673873,0.2385036503351412,1,../data/push-up\correct\Copy of push up 116.mp4
51.698386993579206,163.66118076050975,-0.508832663107837,-1.0897802935795853,164.88964732160045,157.71118394304975,152.139318675486,162.93818491617614,111.96279376693055,0.5809476304717482,1,../data/push-up\correct\Copy of push up 127.mp4
53.242986428112104,163.5084820741278,-0.5299368144340921,-1.052195098270723,166.31800883510047,158.51184224959474,150.59361034951613,163.37593493319514,110.26549564601571,0.522258283836631,1,../data/push-up\correct\Copy of push up 129.mp4
74.32658440333735,161.13074556425383,-0.36888606390797607,-1.014780654037955,174.59968934707507,167.88053589047482,160.83789874387583,170.08222720728835,86.80416116091648,0.6458945901299789,1,../data/push-up\correct\Copy of push up 131.mp4
72.79362061448631,159.97314436187932,-0.3753577496610132,-1.0056557458615143,172.464743094694,168.85542838717694,161.01387438846206,170.45128056756468,87.179523747393,0.6302979962005011,1,../data/push-up\correct\Copy of push up 132.mp4
73.79983103185113,160.1581146714368,-0.3615555802728991,-1.0216381633544986,173.75065205832306,168.59736601334805,163.54149334602624,171.7459247753662,86.35828363958568,0.6600825830815995,1,../data/push-up\correct\Copy of push up 133.mp4
74.45555695685452,162.78118256057968,-0.37222435325001024,-1.0021380833159883,172.49549426157517,169.48559051637122,161.68560330981063,171.3785295541573,88.32562560372516,0.6299137300659781,1,../data/push-up\correct\Copy of push up 134.mp4
71.94064756235656,158.71327351721206,-0.3640406285107027,-1.030054947127436,173.869538675397,168.7042662895437,161.47067531476532,170.42138895298754,86.7726259548555,0.6660143186167333,1,../data/push-up\correct\Copy of push up 135.mp4
75.90946821670919,159.92323777922712,-0.36456628256208096,-1.004682712613701,170.06456531180012,164.50956191219873,156.89190724546472,169.32716586540408,84.01376956251794,0.64011643005162,1,../data/push-up\correct\Copy of push up 136.mp4
74.51479786027055,156.2402932469961,-0.3537783429503273,-0.9748594285722392,171.71258468876445,166.06439596442996,160.04015536520654,169.63641575680367,81.72549538672554,0.6210810856219119,1,../data/push-up\correct\Copy of push up 137.mp4
74.52420190548825,158.57245849826228,-0.3598817392898211,-0.9894149179084759,171.16428180631158,166.73485580402362,161.1172980342731,169.53450527522608,84.04825659277402,0.6295331786186549,1,../data/push-up\correct\Copy of push up 138.mp4
75.35919133580065,164.6871997651405,-0.3542436819485931,-1.0080938838861333,172.7546231939469,168.33602553561488,159.46047369810148,170.57141137155705,89.32800842933985,0.6538502019375402,1,../data/push-up\correct\Copy of push up 140.mp4
75.5728152738625,164.7655588410329,-0.2994387019114422,-1.0427424336661335,172.61525810934307,167.9231836094749,162.08798187204954,171.40813300788327,89.19274356717041,0.7433037317546913,1,../data/push-up\correct\Copy of push up 141.mp4
73.75477894061002,164.33459177000094,-0.2810108265308206,-1.0118647333510227,171.71926566141744,165.30573685698593,162.1294380916692,169.9134781857042,90.57981282939092,0.730853906820202,1,../data/push-up\correct\Copy of push up 142.mp4
74.77191835238584,166.54104802061502,-0.34022843204277525,-1.0159516271608868,173.76537339336383,167.37761268706745,163.25711407627008,172.1439788762686,91.76912966822918,0.6757231951181115,1,../data/push-up\correct\Copy of push up 144.mp4
82.03780729044452,164.37195796402565,-0.3666374402814938,-0.8744409792106045,166.55708009043755,157.55843692432222,156.46507165202712,163.5851841120531,82.33415067358114,0.5078035389291107,1,../data/push-up\correct\Copy of push up 146.mp4
82.6490611785963,164.40217896838504,-0.3660520374951245,-0.8843472173700202,167.07510041160222,156.83915342078245,155.17711058854542,164.64340858367157,81.75311778978875,0.5182951798748957,1,../data/push-up\correct\Copy of push up 147.mp4
